C_CIFRADO;Propension de EFI;NUMERO DE TDC;IMPORTE OFERTADO EFI;TIPO DE REGISTRO;credit_limit_amount;cutoff_date;avg(disponible);disponible;max(credit_limit_amount)
00K1710V;MEDIA ALTA;2314;19200;B;21200;1/06/2020;15438,802;15922,24;21200
00KAWSWW;MUY BAJA;5222;184400;B;207200;1/06/2020;78676,75417;207200;207200
00KAWSWW;MUY BAJA;5222;184400;B;207200;1/06/2019;78676,75417;16494,52;207200
00KVKSS1;BAJA;7603;17400;B;19600;1/06/2020;19533,01;18796,12;19600
00KVKSS1;BAJA;7603;17400;B;19600;1/06/2019;19533,01;19600;19600
00KSVV7S;MEDIA ALTA;3089;5900;B;9100;1/06/2020;4688,3125;5585,5;9100
00N10110;;6212;4950;R;5600;1/05/2020;1838,677778;-21,99;5600
